Product,,Reviewer_Name,Reviewer_Location,Review,Review_Date,Review_Time,Rating,good_review,cleaned_reviews,neg,neu,pos,compound,day_of_week,review_hour
Birthstone Wishing Balls,15,Not a grumpy grandmother,"Annapolis, md","The wishing balls ( I bought 4 for each month of my granddaughters birth), are a perfect, personalized gift.  Every child should have wishes and dreams and this can memorialize them.  The balls are lovely and special for my girls.",2020-07-30,10:19:35,4.5,1,wish ball buy month granddaughter birth perfect personalize gift every child wish dreams memorialize ball lovely special girl,0.0,0.342,0.658,0.9648,3,10
Birthstone Wishing Balls,16,Beth,NY,I simply use this product for decorative display. I'm not really into knickknacks but this one is beautiful,2020-07-21,09:25:37,4.9,1,simply use product decorative display i'm really knickknacks one beautiful,0.0,0.684,0.316,0.6326,1,9
Birthstone Wishing Balls,17,Deb,Pratt KS,My granddaughters love these!,2020-06-26,02:37:40,4.3,1,granddaughter love,0.0,0.192,0.808,0.6369,4,2
Birthstone Wishing Balls,18,Diana,Thornton,Great unusual birthday gift.  Will definitely buy more.,2020-06-17,15:03:07,4.7,1,great unusual birthday gift definitely buy,0.0,0.236,0.764,0.8658,2,15
Birthstone Wishing Balls,19,Uncle Mike,Buffalo NY,Beautiful attractive addition to any living space. A conversation piece with a touch of class.,2020-05-27,13:08:58,5.0,1,beautiful attractive addition live space conversation piece touch class,0.0,0.507,0.493,0.7783,2,13
Birthstone Wishing Balls,20,Jennifer,Highland Park,"After buying one for myself, I bought two more for friends.  

This wishing ball is so simple and beautiful - and a visual reminder of ""letting go"" of things that are out of your control & the need to be thankful for what we have.",2020-05-23,17:18:35,5.0,1,"buy one buy two friend 

this wish ball simple beautiful visual reminder let go thing control need thankful",0.0,0.501,0.499,0.9316,5,17
Birthstone Wishing Balls,21,Jutilda,"Austin, Tx",My niece loved the idea that she could put the gratitude or wish notes inside.,2020-05-21,13:05:03,5.0,1,niece love idea could put gratitude wish note inside,0.0,0.37,0.63,0.8807,3,13
Birthstone Wishing Balls,22,Peedee,"Huntington, NY",Gifted to someone.,2020-05-20,16:49:45,5.0,1,gift someone,0.0,0.256,0.744,0.4404,2,16
Birthstone Wishing Balls,23,Rosa,"Ridgewood, NJ",My friend loved this gift for his birthday!,2020-07-16,13:04:14,4.5,1,friend love gift birthday,0.0,0.088,0.912,0.8834,3,13
Birthstone Wishing Balls,24,Diana,"Naperville, IL","I like unique, personal gifts. This fit what I was looking for.",2020-05-21,19:27:10,5.0,1,like unique personal gift fit look,0.0,0.275,0.725,0.7845,3,19
Calming Shower Steamers Gift Set,25,Favorite Son,NJ,This was a Mother's Day gift and upon opening she loved the scents and couldn't wait to use them.,2020-05-26,18:45:41,4.0,1,mother's day gift upon open loved scent wait use,0.0,0.507,0.493,0.7783,1,18
Calming Shower Steamers Gift Set,26,Happy customer,SF,Look nice :),2020-08-02,04:51:20,5.0,1,look nice,0.0,0.263,0.737,0.4215,6,4
Calming Shower Steamers Gift Set,27,Viv,"Parkland, Florida","I would hang one in a fine mesh bag on the shower knob, then rub some onto my wet hands  to release the fragrance and use as a body scrub. Lavender is my favorite - wish I could purchase a box of a just this  fragrance . I'll reorder as soon as you get the box of 5 back in stock. Would be a great gift, as the packaging  and steamers were so pretty.",2020-07-27,00:27:28,5.0,1,would hang one fine mesh bag shower knob rub onto wet hand release fragrance use body scrub lavender favorite wish could purchase box fragrance i'll reorder soon get box back stock would great gift packaging steamer pretty,0.0,0.589,0.411,0.9633,0,0
Calming Shower Steamers Gift Set,28,discriminating,Chicago,"I attempted to follow the directions for use as a shower steamer, the scents were barely discernible and the residue left a hard to clean mess on the shower tray.  The friends who received the gifts were equally underwhelmed.",2020-07-17,12:11:33,4.4,1,attempt follow direction use shower steamer scent barely discernible residue leave hard clean mess shower tray friends receive gift equally underwhelmed,0.136,0.523,0.341,0.7063,4,12
Calming Shower Steamers Gift Set,29,Toy,Tennessee,My mom said they work great in the shower and smell great!,2020-05-26,23:06:19,4.4,1,mom say work great shower smell great,0.0,0.379,0.621,0.8481,1,23
Calming Shower Steamers Gift Set,30,Rachelle,"Minneapolis, Mn",They're very lightly scented which is perfect for someone who is sensitive to storing perfumes!,2020-05-26,11:40:20,5.0,1,they're lightly scent perfect someone sensitive storing perfume,0.0,0.654,0.346,0.5719,1,11
Calming Shower Steamers Gift Set,31,Dakota,St. Louis,My wife's shower routine,2020-05-19,11:02:24,5.0,1,wife's shower routine,0.0,1.0,0.0,0.0,1,11
Calming Shower Steamers Gift Set,32,Jill,Seattle. WA,"I purchased the 12-pack as a birthday present for my mom. She loves the different scents and the pretty colors. I, however, am disappointed in the packaging. My advice: before purchasing, note that the blocks are NOT individually wrapped. They come in four bags, with three blocks in each bag. Upon arrival, the three mint blocks were all crumbled to make one bag of loose, granular product. The lavender bag is close to the same condition, no where close to three separate blocks. The grapefruit and eucalyptus scents are fine. I guess she'll just have to use the mint and lavender as a foot scrub or a skin exfoliant.",2020-08-03,21:18:19,4.5,1,purchase birthday present mom love different scent pretty color however disappointed packaging advice purchase note block individually wrap come four bag three block bag upon arrival three mint block crumble make one bag loose granular product lavender bag close condition close three separate block grapefruit eucalyptus scent fine guess she'll use mint lavender foot scrub skin exfoliant,0.229,0.647,0.124,-0.7783,0,21
Calming Shower Steamers Gift Set,33,The Emu,"Chicago, IL","I purchased these hesitantly, but they do live up to their purpose. Great size for a 10 minute hot shower, I have held it in my hands without any skin irritation, and the scent is all natural, not chemically produced. It's beautifully arranged & packaged, way more so than I expected! Very satisfied with this, a nice treat for yourself or a friend.",2020-05-07,14:48:50,1.0,0,purchase hesitantly live purpose great size minute hot shower hold hand without skin irritation scent natural chemically produce beautifully arrange package way expect satisfied nice treat friend,0.047,0.362,0.591,0.9764,3,14
Calming Shower Steamers Gift Set,34,Mikki,"Cincinnati, OH",Sister-in-law loved them🙂,2020-04-25,15:18:12,5.0,1,sister-in-law love them🙂,0.0,0.323,0.677,0.6369,5,15
Children's Rainbow Face Coverings - Set of 2,35,Rachel,"Long Valley, NJ","Fits my 5-year-old very well, and the rainbows are very sweet.",2020-07-03,15:54:35,4.0,1,fit well rainbows sweet,0.0,0.116,0.884,0.765,4,15
Children's Rainbow Face Coverings - Set of 2,36,Steph,"Williston, VT","These masks were purchased for my 5-year-old daughter. She loved them when we opened the package. Unfortunately, the material was not soft enough for her to use.",2020-07-11,01:02:54,3.0,0,mask purchase daughter love opened package unfortunately material soft enough use,0.154,0.577,0.269,0.4215,5,1
Children's Rainbow Face Coverings - Set of 2,37,Brandy Wine,Southwest FL,Fit well for my 2 boys ages 11 and 7. I washed and hung dry prior to first wear and then one of the elastics snapped first wear :(  We really need them and I dont feel like paying shipping again and waiting for another order. So I'm going to try to sew it.,2020-07-13,14:12:02,1.0,0,fit well boys age wash hung dry prior first wear one elastic snap first wear really need dont feel like pay ship wait another order i'm go try sew,0.064,0.757,0.179,0.4188,0,14
Children's Rainbow Face Coverings - Set of 2,38,Mom in Colorado,CO,"Bought for my 6 year old (average weight, above average height) and he wears them without too much complaining. Best fit I found for him. After a long time the ear loops bother him, but that's true for a lot of us. Been washing as needed for safety of course and they are holding up.",2020-07-14,13:34:24,5.0,1,buy year old average weight average height wear without much complaining best fit find long time ear loop bother that's true lot wash need safety course hold,0.158,0.576,0.266,0.4449,1,13
Children's Rainbow Face Coverings - Set of 2,39,Nana,"Boston, MA",I keep these maks at my house so my granddaughter will have one when she comes over.,2020-07-14,20:00:33,1.0,0,keep mak house granddaughter one come,0.0,1.0,0.0,0.0,1,20
Children's Rainbow Face Coverings - Set of 2,40,Brandy Wine,FL,I wrote the review (below) about the broken mask.  I did reach out to customer service and they've resolved the issue!  Hoping for better luck w the 2nd pack!,2020-07-17,14:00:21,5.0,1,write review broken mask reach customer service they've resolve issue hop good luck pack,0.143,0.415,0.442,0.6705,4,14
Children's Rainbow Face Coverings - Set of 2,41,Autumn,"Glenville, Pa","So these mask are super cute and a nice quality fabric! However I was really disappointed when I put them on my 4 year old daughter. The elastic bands that go around the eat were so tight that they pulled her ears down and then kept popping right off. Needed up having to find someone to see in a looser ear band from a medical grade mask, which I am not sure how those ear bands will hold up when I wash them. For the price of the mask I think that the elastic should be a more flexible piece.",2020-07-18,11:24:07,5.0,1,mask super cute nice quality fabric however really disappointed put year old daughter elastic band go around eat tight pull ear keep pop right need find someone see loose ear band medical grade mask sure ear band hold wash price mask think elastic flexible piece,0.099,0.66,0.241,0.8024,5,11
Children's Rainbow Face Coverings - Set of 2,42,BIW,New Jersey,"Very cute product which seems to be nicely made, but the elastic straps were too short for my 3 year old grandson.  I can't see how it would fit on an older child.
I was able to return them, but I'm waiting a long time for the refund.",2020-07-19,02:32:43,5.0,1,"cute product seem nicely make elastic strap short year old grandson can't see would fit old child.
i able return i'm wait long time refund",0.073,0.724,0.203,0.5845,6,2
Children's Rainbow Face Coverings - Set of 2,43,Lyndy,"Brooklyn, NY",These masks are unique. My kids think they are great. Older kids can keep them on; it's hard for toddlers. It was also an opportunity to support a safety net hospital.,2020-07-24,13:02:53,5.0,1,mask unique kid think great old kid keep hard toddler also opportunity support safety net hospital,0.056,0.444,0.5,0.9001,4,13
Children's Rainbow Face Coverings - Set of 2,44,JK,"Houston, TX","My daughter is 10 and my son is 8.  The masks cover their noses and mouths, but the elastics are way too small. They are unable to wear the masks because the elastics literally pull their ears forward like Dumbo.  Going to have to pay a seamstress to change out the elastics so they can wear them.   Not worth the cost.",2020-07-26,18:54:40,4.5,1,daughter son mask cover nose mouth elastic way small unable wear mask elastic literally pull ear forward like dumbo go pay seamstress change elastic wear worth cost,0.047,0.805,0.148,0.4588,6,18
Create Your Own Reel Viewer,45,Mom in New York,New York,I bought this item as a gift for my daughter and her husband as a first anniversary gift.  They loved seeing the pictures come to life.  We passed it around and everyone began telling stories of the actual day.  It is a great gift and great conversation starter!,2020-08-05,13:34:38,1.0,0,bought item gift daughter husband first anniversary gift love see picture come life pass around everyone begin tell story actual day great gift great conversation starter,0.0,0.487,0.513,0.9686,2,13
Create Your Own Reel Viewer,46,"Andria, a Sunday school teacher","Macon, GA","I have purchased several of these for fun gifts~ grandson's 10th birthday, our wedding anniversary, but the best buy was for prizes the summer of 2020 during our Focus Virtual VBS (Vacation Bible School)! All throughout the week of ONLINE Bible fun, we had a Glow Stick Challenge where family members helped to attach glow sticks to you and videoed you dancing to your favorite song. We had an absolute BLAST, and the Retro Viewers were THE absolute BEST prizes...special, unique, and a fun flashback to the adults' childhood!",2020-07-30,06:10:43,4.6,1,purchase several fun gift grandson's birthday wedding anniversary best buy prize summer focus virtual vbs vacation bible school throughout week online bible fun glow stick challenge family member help attach glow stick videoed dance favorite song absolute blast retro viewer absolute best prizes...special unique fun flashback adult childhood,0.0,0.51,0.49,0.9878,3,6
Create Your Own Reel Viewer,47,Alysss,"Chicago, IL","I bought this as a gift and she loved it! Such a fun, nostalgic way to store your favorite memories. The receiver created their own reel. Would be even better if I could create a reel to include as well!",2020-07-29,15:11:33,4.3,1,buy gift love fun nostalgic way store favorite memory receiver create reel would even better could create reel include well,0.0,0.347,0.653,0.9666,2,15
Create Your Own Reel Viewer,48,,Mpls,It would have been a better experience to have been able to order the viewmaster and custom reel so they deliver at the same time,2020-07-29,14:33:45,4.7,1,would better experience able order viewmaster custom reel deliver time,0.0,0.756,0.244,0.4404,2,14
Create Your Own Reel Viewer,49,Bon Ton,"Mason, OHIO",I got this for my Grandson and will add reels of his life and ancestors,2020-07-21,13:06:37,5.0,1,get grandson add reel life ancestor,0.0,1.0,0.0,0.0,1,13
Create Your Own Reel Viewer,50,Joe,Texas,"I got this for my wife on our 4th anniversary (not the only thing I got her), and she has enjoyed it. The 3d picture quality is really good. Really easy to do and a great buy.",2020-07-22,13:25:34,5.0,1,get wife anniversary thing get enjoyed picture quality really good really easy great buy,0.0,0.411,0.589,0.9363,2,13
Create Your Own Reel Viewer,51,Princess,Ann ARbor,"Needed a 60th birthday present that was personal but not sappy.  This was the perfect way to give a ""manly"" scrapbook.",2020-07-31,13:07:49,5.0,1,need birthday present personal sappy perfect way give manly scrapbook,0.146,0.584,0.27,0.4019,4,13
Create Your Own Reel Viewer,52,Devinci,San Luis Obispo,"This Reel Viewer gave my wife and I the perfect opportunity to create our own photo viewing experience. We took photos from our favorite wedding day memories to create a fun, nostalgic slideshow of the day we said ""I do."" We are planning on putting together a few reels for our most recent roads trips. I can imagine how others would enjoy creating their own hand-picked slideshows!",2020-07-28,06:07:23,5.0,1,reel viewer give wife perfect opportunity create photo view experience take photo favorite wed day memory create fun nostalgic slideshow day say plan put together reels recent road trip imagine others would enjoy create hand-picked slideshows,0.0,0.557,0.443,0.9652,1,6
Create Your Own Reel Viewer,53,Devinci,San Luis Obispo,"This Reel Viewer gave my wife and I the perfect opportunity to create our own photo viewing experience. We took photos from our favorite wedding day memories to create a fun, nostalgic slideshow of the day we said ""I do."" We are planning on putting together a few reels for our most recent roads trips. I can imagine how others would enjoy creating their own hand-picked slideshows! #sweepstakes",2020-07-28,06:28:16,5.0,1,reel viewer give wife perfect opportunity create photo view experience take photo favorite wed day memory create fun nostalgic slideshow day say plan put together reels recent road trip imagine others would enjoy create hand-picked slideshows sweepstakes,0.0,0.565,0.435,0.9652,1,6
Create Your Own Reel Viewer,54,Cris the wife,"Valrico, Florida","We have so many photos we like looking at, but we don't want to display all of them on our walls. This viewer is great! It's a fun way for us to enjoy our memories without having to search for them in our phones or on the computer, and it's a nice way to share history with our babies as they grow up! So excited to purchase more reels!",2020-07-30,13:53:01,5.0,1,many photo like look want display wall viewer great fun way enjoy memory without search phone computer nice way share history baby grow excited purchase reel,0.0,0.452,0.548,0.9628,3,13
Custom Lake Art Cribbage Board,55,Laurie,Minnesota,These beautiful boards are very well made and wonderfully detailed! I loved them so much and they made beautiful gifts.,2020-06-19,23:18:56,4.6,1,beautiful board well make wonderfully detailed love much make beautiful gift,0.0,0.193,0.807,0.9678,4,23
Custom Lake Art Cribbage Board,56,Donna,"Salem, Oregon","This cribbage board is very well made, the metal pegs (versus plastic) are a nice touch, and the map of the lake and surrounding area is incredibly detailed and beautiful. Would definitely purchase again!",2020-03-29,22:53:08,3.0,0,cribbage board well make metal peg versus plastic nice touch map lake surround area incredibly detailed beautiful would definitely purchase,0.0,0.576,0.424,0.8952,6,22
Custom Lake Art Cribbage Board,57,Jill W,"Bend, Or","My Dad and his brother play cribbage every morning! He loved this personalized gift! He said he thinks of me every time they play and I ""bring him luck!""",2020-04-07,14:52:23,5.0,1,dad brother play cribbage every morning love personalized gift say think every time play bring luck,0.0,0.425,0.575,0.9313,1,14
Custom Lake Art Cribbage Board,58,Ky,Oregon,My significant other was so surprised and loved the personal touch! It turned out better than I could have imagined.,2020-04-07,16:15:33,5.0,1,significant surprise loved personal touch turn good could imagine,0.0,0.318,0.682,0.8658,1,16
Custom Lake Art Cribbage Board,59,Jinx,"Fort Frances, Ontario, Canada","This was a gift, but they play cribbage.",2020-08-05,13:28:40,5.0,1,gift play cribbage,0.0,0.159,0.841,0.6486,2,13
Custom Lake Art Cribbage Board,60,Markus,"Houston, Texas","My brother and sister-in-law have been enjoying playing cribbage on the custom board, bringing back many fond memories of this area!",2020-07-18,13:34:41,4.8,1,brother sister-in-law enjoy play cribbage custom board bring back many fond memory area,0.0,0.541,0.459,0.8176,5,13
Custom Lake Art Cribbage Board,61,dobber,wisconsin,gift for son who have a cabin on a lake,2020-07-12,02:39:38,5.0,1,gift son cabin lake,0.0,0.508,0.492,0.4404,6,2
Custom Lake Art Cribbage Board,62,Mike,WA,"The name of the lake was spelled correctly on the box but spel li ed incorrectly on the custom gift. 
The compartment where the game pieces are held has a cap that does not feel secure and awkwardly sticks out of the product.",2020-07-02,12:41:31,4.5,1,"name lake spell correctly box spel li ed incorrectly custom gift 
the compartment game piece hold cap feel secure awkwardly stick product",0.086,0.714,0.199,0.4588,3,12
Custom Lake Art Cribbage Board,63,Colleen,Standish maine,To play cribbage and conversation piece,2020-04-14,18:29:56,5.0,1,play cribbage conversation piece,0.0,0.556,0.444,0.34,1,18
Custom Lake Art Cribbage Board,64,*****,*******,"The cork on the bottom prevents me from easily displaying the piece.  It would be much better to have that on the top!
You have no need of a nickname for me or a location if this is truly a survey!",2020-05-21,16:19:01,5.0,1,"cork bottom prevents easily display piece would much well top!
you need nickname location truly survey",0.0,0.505,0.495,0.8313,3,16
Custom Map Tide Clock,65,Nikkinik,"Babylon, New York",Gift to a business acquaintance for summer residence.  Big hit and promptly displayed.,2020-07-10,15:39:34,4.7,1,gift business acquaintance summer residence big hit promptly display,0.0,0.734,0.266,0.4404,4,15
Custom Map Tide Clock,66,germond13,"Pittsburgh, PA",Such a great and unique gift!,2020-05-27,01:00:20,5.0,1,great unique gift,0.0,0.125,0.875,0.7906,2,1
Custom Map Tide Clock,67,CindyZ,Delmarva,I love that the clock is personalized. I was nervous that I couldn't proof it but it is exactly the section of the maps I selected. It turned out great.,2020-05-21,02:19:59,5.0,1,love clock personalize nervous proof exactly section map select turn great,0.114,0.435,0.451,0.802,3,2
Custom Map Tide Clock,68,milly's mom,06795,"This was a gift for my daughter's grandmother. She is also my boss! She is such a hard worker, fearless leader and needs to be reminded of the concept of time when she's enjoying herself at her beach condo in RI. I am glad she enjoys it and we look forward to getting much use out of it this summer",2020-05-04,19:51:12,5.0,1,gift daughter's grandmother also boss hard worker fearless leader need remind concept time enjoy beach condo ri glad enjoy look forward get much use summer,0.039,0.534,0.427,0.93,0,19
Custom Map Tide Clock,69,Rhody girl,RI,We bought this tide clock for our home in a beach community. It is exactly what we were hoping for--we so appreciated how precisely the creator matched our location and think the tide clock is beautiful! We love how customized and personalized it is!!,2020-07-07,14:29:26,4.8,1,buy tide clock home beach community exactly hop for--we appreciate precisely creator match location think tide clock beautiful love customize personalized,0.0,0.625,0.375,0.8957,1,14
Custom Map Tide Clock,70,BoyMom,"Philadelphia, PA",Reduced all of his tide chart paper-clutter!,2020-06-20,13:33:01,5.0,1,reduce tide chart paper-clutter,0.0,1.0,0.0,0.0,5,13
Custom Map Tide Clock,71,Tannie,Bedford NH,We bought a house near the ocean in York Maine and this was the perfect gift for my husband. He absolutely LOVES it to see the tide chart and custom map. Great quality and arrived so fast. Made in USA.,2020-07-22,13:41:50,4.8,1,buy house near ocean york maine perfect gift husband absolutely love see tide chart custom map great quality arrive fast make usa,0.0,0.542,0.458,0.945,2,13
Custom Map Tide Clock,72,Erica,"Raleigh, NC",This is great for anyone with a beach house. Great decoration and also useful for anyone wanting to keep up with the tide schedule.,2020-07-29,15:21:03,4.8,1,great anyone beach house great decoration also useful anyone want keep tide schedule,0.0,0.421,0.579,0.9081,2,15
Custom Map Tide Clock,73,Kayaking friend,Florida,He displays it on his desk. Great conversation piece.,2020-06-25,11:23:17,5.0,1,display desk great conversation piece,0.0,0.494,0.506,0.6249,3,11
Custom Map Tide Clock,74,Sami,"Los Angeles, CA",Really great gift that came out nice looking and my parents were excited about it because they didn't even know something like this exists.  very useful at the beach!,2020-07-14,18:40:28,3.8,1,really great gift come nice look parent excite even know something like exists useful beach,0.0,0.323,0.677,0.9576,1,18
Founding Fathers Whiskey Glasses,75,Sarah the mom,Erie PA,My husband loved it!,2019-12-31,22:55:46,5.0,1,husband love,0.0,0.192,0.808,0.6369,1,22
Founding Fathers Whiskey Glasses,76,Mar-Mar,"Round Rock, Texas",My husband uses them every night,2019-12-31,17:11:15,5.0,1,husband use every night,0.0,1.0,0.0,0.0,1,17
Founding Fathers Whiskey Glasses,77,Whitney,"Rochester, MN",Looks great.,2020-01-28,18:08:35,5.0,1,look great,0.0,0.196,0.804,0.6249,1,18
Founding Fathers Whiskey Glasses,78,Ronnie brewer,Fayetteville NC,Big into history and whiskey. This set was a must have!,2020-02-15,20:39:17,5.0,1,big history whiskey set must,0.0,1.0,0.0,0.0,5,20
Founding Fathers Whiskey Glasses,79,Mom,"St Louis, Mo",It was a gift that is appreciated.,2020-04-18,14:15:29,5.0,1,gift appreciate,0.0,0.0,1.0,0.6808,5,14
Founding Fathers Whiskey Glasses,80,DJ,New York,High quality glass. Great you can select which founding fathers you want.,2020-05-15,11:32:36,4.7,1,high quality glass great select found father want,0.0,0.526,0.474,0.6597,4,11
Founding Fathers Whiskey Glasses,81,Sfoklnd,"Sebring, Fl",This was a great gift!,2020-06-16,14:28:30,4.9,1,great gift,0.0,0.0,1.0,0.7906,1,14
Founding Fathers Whiskey Glasses,82,Oceangirlrn,New Jersey,"Quality glasses, just as pictured. Great communication with shipping and arrived sooner than expected.  
He loves them!",2020-07-02,12:19:35,4.7,1,"quality glass picture great communication ship arrive sooner expect 
he love",0.0,0.52,0.48,0.8519,3,12
Founding Fathers Whiskey Glasses,83,Rae of Sunshine,"West Point, VA",The writing on the glass helps to measure the pour to one's perfect depth!,2020-07-07,12:34:46,4.8,1,write glass help measure pour one's perfect depth,0.0,0.484,0.516,0.7506,1,12
Founding Fathers Whiskey Glasses,84,Vizsla mom,Minneapolis,He just used these when we had friends Over great conversation piece!,2020-07-04,11:04:39,4.9,1,used friend great conversation piece,0.0,0.291,0.709,0.8074,5,11
Gardener's Harvest Basket,85,Handmade lover,Plainsboro NJ,"Multifunctional, can use it to display or as silverware holder for outdoor dining, beverage holder, fruit holder, grocery basket, herb planter holder, artist tool holder and many more uses...",2020-08-04,09:55:26,4.6,1,multifunctional use display silverware holder outdoor din beverage holder fruit holder grocery basket herb planter holder artist tool holder many us,0.0,1.0,0.0,0.0,1,9
Gardener's Harvest Basket,86,Tutti,"Lake Forest, Illinois",It added an functional elegance to gardening,2020-07-29,13:58:22,5.0,1,add functional elegance gardening,0.0,0.492,0.508,0.4767,2,13
Gardener's Harvest Basket,87,Kellwelly,"Medford, MA","I sent this a surprise gift to my gardening friend.  He's already sent me several photos of his bounty in it.  It looks beautiful and sturdy, and I like that you can wash the produce right in the basket.",2020-07-29,11:35:06,5.0,1,sent surprise gift garden friend he's already send several photo bounty look beautiful sturdy like wash produce right basket,0.0,0.49,0.51,0.9274,2,11
